Date,Open,High,Low,Close,Adj Close,Volume
8/20/20,10.75,10.8,10.55,10.65,10.65,4989383
8/19/20,10.5,10.8,10.4,10.75,10.75,6784957
8/18/20,10.5,10.7,10.25,10.45,10.45,6332132
8/17/20,10.05,10.5,10.05,10.5,10.5,8472215
8/16/20,9.93,10.1,9.85,10.05,10.05,4650048
8/13/20,9.5,9.94,9.31,9.75,9.75,12882450
12/8/20,9.26,9.5,9.26,9.5,9.5,2667897
11/8/20,9.35,9.37,9.2,9.25,9.25,1845482
10/8/20,9.23,9.38,9.2,9.2,9.2,2847101
9/8/20,9.15,9.4,9.01,9.25,9.25,2269619
6/8/20,9.26,9.39,9.23,9.35,9.35,3153150
5/8/20,9.12,9.24,9.11,9.2,9.2,3718147
4/8/20,9.06,9.12,9.04,9.12,9.12,9913576
3/8/20,9.08,9.08,8.99,9.04,9.04,1987469
7/29/20,8.95,8.95,8.82,8.84,8.84,1121808
7/28/20,8.99,8.99,8.86,8.87,8.87,2842942
7/27/20,9,9,8.88,9,9,2446842
7/26/20,8.95,8.95,8.93,8.93,8.93,136933
7/23/20,8.96,9.01,8.85,8.89,8.89,3165477
7/22/20,9.13,9.13,8.96,9,9,3686847
7/21/20,8.9,9.14,8.9,9.14,9.14,6777983
7/20/20,8.74,8.85,8.62,8.63,8.63,2741846
7/19/20,8.65,8.8,8.62,8.8,8.8,945010
7/16/20,8.5,8.65,8.5,8.55,8.55,1948966
7/15/20,8.61,8.67,8.39,8.5,8.5,2265404
7/14/20,8.76,8.78,8.56,8.62,8.62,3613938
7/13/20,8.92,8.92,8.76,8.76,8.76,1265141
12/7/20,8.85,8.91,8.85,8.88,8.88,1098625
9/7/20,8.81,8.89,8.81,8.89,8.89,2333621
8/7/20,8.99,8.99,8.83,8.88,8.88,1823419
7/7/20,8.99,8.99,8.9,8.9,8.9,1415876
6/7/20,8.9,8.93,8.84,8.86,8.86,1450064
5/7/20,8.9,8.9,8.81,8.81,8.81,220941
2/7/20,8.95,8.95,8.88,8.9,8.9,2057161
1/7/20,8.93,8.94,8.86,8.9,8.9,2154244
6/30/20,8.86,8.97,8.84,8.86,8.86,4056498
6/29/20,8.9,9.08,8.85,8.86,8.86,1937419
6/28/20,8.85,8.99,8.85,8.9,8.9,2119005
6/25/20,8.91,8.99,8.85,8.9,8.9,3656921
6/24/20,9.15,9.23,8.92,9,9,3846032
6/23/20,9.07,9.13,9,9.1,9.1,2968976
6/22/20,8.95,9.03,8.92,9,9,2035042
6/21/20,9.18,9.26,8.84,8.84,8.84,1507395
6/18/20,8.99,9.2,8.93,9.2,9.2,5393324
6/17/20,8.95,8.95,8.74,8.93,8.93,4911843
6/16/20,8.79,8.93,8.79,8.81,8.81,2266168
6/15/20,8.95,8.95,8.65,8.79,8.79,2652575
6/14/20,8.85,8.9,8.81,8.89,8.89,561534
11/6/20,9.1,9.12,8.96,9,9,938468
10/6/20,9.35,9.35,9.12,9.15,9.15,1855002
9/6/20,9.47,9.47,9.25,9.35,9.35,1692558
8/6/20,9.45,9.6,9.21,9.4,9.4,4289227
7/6/20,9,9.36,9,9.33,9.33,5555491
4/6/20,8.78,8.98,8.75,8.98,8.98,5126280
3/6/20,8.8,8.85,8.63,8.85,8.85,3130958
2/6/20,8.81,8.81,8.69,8.8,8.8,923063
1/6/20,8.59,8.8,8.59,8.8,8.8,8208910
5/31/20,8.82,8.82,8.4,8.56,8.56,1580436
5/28/20,8.93,8.93,8.49,8.64,8.64,101731408
5/27/20,9,9.01,8.8,8.93,8.93,9434708
5/21/20,8.9,9.02,8.85,9,9,6970882
5/20/20,8.91,8.96,8.89,8.95,8.95,5416787
5/19/20,8.8,8.93,8.8,8.91,8.91,7662590
5/18/20,8.5,8.8,8.5,8.77,8.77,4854076
5/17/20,8.55,8.55,8.46,8.5,8.5,2090436
5/14/20,8.61,8.84,8.5,8.5,8.5,5470393
5/13/20,8.8,8.85,8.5,8.8,8.8,14400474
12/5/20,8.35,8.65,8.35,8.45,8.45,2826796
11/5/20,8.57,8.57,8.3,8.49,8.49,3635747
10/5/20,8.68,8.8,8.23,8.57,8.57,3465448
7/5/20,8.38,8.67,8.38,8.66,8.66,3681544
6/5/20,8.27,8.59,8.2,8.44,8.44,5320101
5/5/20,8.4,8.4,8.25,8.29,8.29,4406502
4/5/20,8.1,8.3,7.92,8.2,8.2,4841744
3/5/20,8.4,8.49,8.2,8.25,8.25,1308966
4/30/20,8.3,8.61,8.25,8.6,8.6,2827632
4/29/20,8.32,8.33,8.15,8.2,8.2,2186455
4/28/20,8.3,8.3,8.17,8.17,8.17,3621663
4/27/20,8.35,8.35,8.17,8.25,8.25,2334325
4/26/20,8.3,8.3,8.18,8.24,8.24,1986086
4/23/20,8.2,8.25,8,8.1,8.1,1804025
4/22/20,7.88,8.02,7.8,8.02,8.02,1995052
4/21/20,8.1,8.23,7.89,7.9,7.9,2042727
4/20/20,8.39,8.39,8.08,8.3,8.3,3755334
4/19/20,8.33,8.53,8.15,8.35,8.35,1403715
4/16/20,8.37,8.37,7.98,8.05,8.05,1984545
4/15/20,8.8,8.8,8.37,8.39,8.39,2917618
4/14/20,8.35,8.93,8.35,8.8,8.8,3772013
4/13/20,8.9,8.95,8.47,8.5,8.5,4799210
12/4/20,8.55,9.02,8.55,8.8,8.8,4450734
9/4/20,8,8.43,7.95,8.4,8.4,4678790
8/4/20,7.6,8,7.6,7.8,7.8,2661946
7/4/20,6.72,7.54,6.72,7.53,7.53,2149624
6/4/20,6.33,6.8,6.33,6.56,6.56,4069276
5/4/20,6.81,6.81,6.56,6.56,6.56,1892609
2/4/20,6.85,6.91,6.8,6.9,6.9,3080956
1/4/20,7.23,7.23,6.87,6.9,6.9,4030324
3/31/20,7.25,7.46,7.2,7.23,7.23,2393499
3/30/20,7.32,7.38,7.15,7.23,7.23,699492
3/29/20,7.2,7.4,7.1,7.4,7.4,310867
3/26/20,7.2,7.4,7.19,7.4,7.4,807893
3/25/20,7.19,7.5,7.1,7.38,7.38,7253537
3/24/20,6.9,6.9,6.6,6.82,6.82,3711160
3/23/20,6.99,6.99,6.71,6.71,6.71,2011624
3/22/20,7.3,7.3,7.01,7.06,7.06,1847456
3/19/20,6.97,7.37,6.97,7.37,7.37,6439722
3/18/20,7.4,7.6,7.11,7.33,7.33,7449512
3/17/20,7.25,7.69,6.89,7.18,7.18,6390771
3/16/20,7.12,7.81,7.12,7.59,7.59,8496593
3/15/20,8.89,8.9,7.86,7.86,7.86,7447387
12/3/20,8.73,8.93,8.73,8.73,8.73,5289061
11/3/20,10.35,10.5,9.6,9.7,9.7,5430590
10/3/20,8.47,9.74,8.47,9.62,9.62,12519823
