Company title,Symbol,Industry,Exchange,Exchange Abbreviation
Ajman Bank,AJMANBANK,Banks, Dubai Financial Market,DFM
Al Salam Bank – Bahrain (B.S.C.),SALAM_BAH,Banks, Dubai Financial Market,DFM
Al Salam Sudan Bank,ALSALAMSUDAN,Banks, Dubai Financial Market,DFM
Amlak Finance,AMLAK,Banks, Dubai Financial Market,DFM
Commercial Bank of Dubai,CBD,Banks, Dubai Financial Market,DFM
Dubai Islamic Bank,DIB,Banks, Dubai Financial Market,DFM
Emirates Islamic Bank,EIB,Banks, Dubai Financial Market,DFM
Emirates Investment Bank,EIBANK,Banks, Dubai Financial Market,DFM
Emirates NBD,EMIRATESNBD,Banks, Dubai Financial Market,DFM
Gulf Finance House,GFH,Banks, Dubai Financial Market,DFM
Mashreqbank,MASQ,Banks, Dubai Financial Market,DFM
Almadina for Finance and Investment Company,ALMADINA,Financial Services, Dubai Financial Market,DFM
Al Salam Group Holding,ALSALAMKW,Financial Services, Dubai Financial Market,DFM
Dubai Financial Market,DFM,Financial Services, Dubai Financial Market,DFM
Dubai Investments,DIC,Financial Services, Dubai Financial Market,DFM
Ekttitab Holding Company,EKTTITAB,Financial Services, Dubai Financial Market,DFM
Gulf General Investments Company,GGICO,Financial Services, Dubai Financial Market,DFM
International Financial Advisors,IFA,Financial Services, Dubai Financial Market,DFM
SHUAA Capital,SHUAA,Financial Services, Dubai Financial Market,DFM
Alliance Insurance,ALLIANCE,Insurance, Dubai Financial Market,DFM
Al Sagr National Insurance Company,ASNIC,Insurance, Dubai Financial Market,DFM
Arab Insurance Group,ARIG,Insurance, Dubai Financial Market,DFM
Arabian Scandinavian Insurance,ASCANA,Insurance, Dubai Financial Market,DFM
Dubai Insurance Company,DIN,Insurance, Dubai Financial Market,DFM
Dubai Islamic Insurance and Reinsurance Company,AMAN,Insurance, Dubai Financial Market,DFM
Dubai National Insurance and Reinsurance,DNIR,Insurance, Dubai Financial Market,DFM
Islamic Arab Insurance Company,SALAMA,Insurance, Dubai Financial Market,DFM
National General Insurance Company,NGI,Insurance, Dubai Financial Market,DFM
Oman Insurance Company,OIC,Insurance, Dubai Financial Market,DFM
ORIENT Insurance,ORIENT,Insurance, Dubai Financial Market,DFM
Takaful Emarat,TAKAFUL-EM,Insurance, Dubai Financial Market,DFM
Takaful House,DARTAKAFUL,Insurance, Dubai Financial Market,DFM
Al Mazaya Holding Company,MAZAYA,Real Estate and Construction, Dubai Financial Market,DFM
Arabtec Holding,ARTC,Real Estate and Construction, Dubai Financial Market,DFM
Deyaar Development,DEYAAR,Real Estate and Construction, Dubai Financial Market,DFM
Drake & Scull International,DSI,Real Estate and Construction, Dubai Financial Market,DFM
Dubai Development Company,DDC,Real Estate and Construction, Dubai Financial Market,DFM
Emaar Malls Group,EMAARMALLS,Real Estate and Construction, Dubai Financial Market,DFM
Emaar Properties,EMAAR,Real Estate and Construction, Dubai Financial Market,DFM
FIDU PROPERTIES,FIDU,Real Estate and Construction, Dubai Financial Market,DFM
Union Properties,UPP,Real Estate and Construction, Dubai Financial Market,DFM
