Date,Open,High,Low,No. of Trades,Volume,Value,Last Trade Price,Last Trade Date,Prev. Close,Close,Net Change,PayoutRatio,Ticker,Industry,Name,Exchange - Market,Country of Origin,Stock Splits,Dividends
8/20/20,1.15,1.18,1.15,208,14149274,16563947.16,1.18,20/08/2020,1.15,1.18,0.03,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
8/19/20,1.15,1.16,1.15,54,1269696,1461166.65,1.15,19/08/2020,1.16,1.15,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
8/18/20,1.17,1.17,1.14,40,1963818,2261154.71,1.16,18/08/2020,1.17,1.16,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
8/17/20,1.15,1.17,1.14,176,11601692,13380813.46,1.17,17/08/2020,1.16,1.17,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
8/16/20,1.15,1.16,1.15,41,3203992,3707913.17,1.16,16/08/2020,1.15,1.16,0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
8/13/20,1.14,1.17,1.14,167,11308722,13014995.7,1.15,13/08/2020,1.13,1.15,0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
12/8/20,1.12,1.15,1.12,94,5154539,5815414.11,1.13,12/8/20,1.11,1.13,0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
11/8/20,1.11,1.12,1.1,128,7078042,7849739.29,1.11,11/8/20,1.13,1.11,-0.02,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
10/8/20,1.14,1.14,1.12,32,1379680,1558816.66,1.13,10/8/20,1.13,1.13,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
9/8/20,1.14,1.15,1.13,29,1023986,1165139.58,1.13,9/8/20,1.14,1.13,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
6/8/20,1.13,1.15,1.13,136,4470455,5101505.34,1.14,6/8/20,1.14,1.14,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
5/8/20,1.14,1.15,1.13,35,738744,842242.16,1.14,5/8/20,1.14,1.14,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
4/8/20,1.15,1.15,1.14,49,903331,1033438.25,1.14,4/8/20,1.14,1.14,0,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
3/8/20,1.15,1.17,1.13,79,3726660,4277283.7,1.14,3/8/20,1.15,1.14,-0.01,0,AIRARABIA,Transportation,Air Arabia P.J.S.C.,DFM,UAE,0,0
