Date,Price,Open,High,Low,Vol.,Change %
2-Sep-20,3.05,3.2,3.27,3.05,4.39M,-4.39%
1-Sep-20,3.19,3.2,3.2,3.19,222.23K,-0.31%
31-Aug-20,3.2,3.18,3.21,3.18,547.56K,1.27%
30-Aug-20,3.16,3.22,3.22,3.16,235.17K,-1.25%
27-Aug-20,3.2,3.23,3.23,3.18,74.99K,-0.62%
26-Aug-20,3.22,3.2,3.22,3.15,1.05M,0.62%
25-Aug-20,3.2,3.22,3.22,3.16,734.69K,-1.23%
24-Aug-20,3.24,3.19,3.24,3.15,1.04M,2.21%
20-Aug-20,3.17,3.19,3.19,3.15,4.27M,-0.63%
19-Aug-20,3.19,3.13,3.19,3.12,9.49M,1.59%
18-Aug-20,3.14,3.13,3.19,3.13,8.76M,-0.32%
17-Aug-20,3.15,3.2,3.2,3.14,9.58M,1.29%
16-Aug-20,3.11,3.15,3.15,3.1,14.08M,-2.20%
13-Aug-20,3.18,3.2,3.2,3.14,2.17M,0.00%
12-Aug-20,3.18,3.11,3.2,3.1,1.10M,2.58%
11-Aug-20,3.1,3.14,3.18,3.1,1.54M,-1.59%
10-Aug-20,3.15,3.1,3.17,3.1,3.15M,0.00%
9-Aug-20,3.15,3.14,3.15,3.14,1.45M,0.00%
6-Aug-20,3.15,3.12,3.15,3.12,2.40M,1.61%
5-Aug-20,3.1,3.1,3.13,3.1,1.29M,-1.27%
4-Aug-20,3.14,3.08,3.15,3.08,806.74K,0.00%
3-Aug-20,3.14,3.14,3.15,3.07,753.28K,0.00%
29-Jul-20,3.14,3.14,3.15,3.1,2.34M,0.00%
28-Jul-20,3.14,3.13,3.14,3.1,918.55K,0.32%
27-Jul-20,3.13,3.09,3.14,3.09,866.42K,1.62%
26-Jul-20,3.08,3.08,3.1,3.08,312.68K,0.00%
23-Jul-20,3.08,3.1,3.1,3.08,231.53K,-0.65%
22-Jul-20,3.1,3.14,3.14,3.1,3.28M,-0.96%
21-Jul-20,3.13,3.08,3.13,3.08,778.62K,1.62%
20-Jul-20,3.08,3.12,3.13,3.08,964.25K,-1.28%
19-Jul-20,3.12,3.14,3.14,3.12,86.12K,1.96%
16-Jul-20,3.06,3.04,3.06,3.04,2.12M,0.99%
15-Jul-20,3.03,3,3.03,3,704.59K,0.66%
14-Jul-20,3.01,2.98,3.01,2.97,1.10M,1.01%
13-Jul-20,2.98,3,3.03,2.97,1.11M,0.00%
12-Jul-20,2.98,3,3,2.98,1.30M,-0.67%
9-Jul-20,3,2.99,3,2.98,2.99M,0.33%
8-Jul-20,2.99,2.99,3,2.98,3.15M,0.00%
7-Jul-20,2.99,2.97,3,2.97,2.60M,0.67%
6-Jul-20,2.97,2.97,2.97,2.96,514.34K,0.34%
5-Jul-20,2.96,2.97,2.97,2.95,882.09K,-0.34%
2-Jul-20,2.97,2.97,2.97,2.96,1.05M,0.00%
1-Jul-20,2.97,2.97,2.97,2.96,693.55K,0.00%
30-Jun-20,2.97,3,3,2.97,2.20M,0.34%
29-Jun-20,2.96,3,3,2.96,1.86M,-2.31%
28-Jun-20,3.03,2.98,3.03,2.98,6.41M,1.68%
25-Jun-20,2.98,2.95,2.98,2.95,1.06M,1.02%
24-Jun-20,2.95,2.95,2.96,2.95,2.17M,0.00%
23-Jun-20,2.95,2.96,2.96,2.95,529.65K,0.00%
22-Jun-20,2.95,2.93,2.96,2.93,260.23K,-0.34%
21-Jun-20,2.96,2.93,2.96,2.93,17.30K,0.34%
18-Jun-20,2.95,2.94,2.95,2.94,328.15K,1.72%
17-Jun-20,2.9,2.97,2.97,2.9,1.82M,-2.68%
16-Jun-20,2.98,2.95,2.98,2.95,2.40M,1.36%
15-Jun-20,2.94,2.9,2.94,2.9,55.52K,0.00%
14-Jun-20,2.94,2.95,2.95,2.91,249.06K,-1.01%
11-Jun-20,2.97,2.95,2.97,2.91,862.46K,0.68%
10-Jun-20,2.95,2.97,2.97,2.94,544.26K,-0.34%
9-Jun-20,2.96,2.98,2.98,2.92,1.49M,-0.67%
8-Jun-20,2.98,2.99,2.99,2.95,2.90M,1.02%
7-Jun-20,2.95,2.93,2.99,2.93,2.44M,0.68%
4-Jun-20,2.93,2.91,2.96,2.91,1.74M,0.34%
3-Jun-20,2.92,2.93,2.94,2.89,1.03M,0.69%
2-Jun-20,2.9,2.9,2.9,2.84,262.99K,-0.68%
1-Jun-20,2.92,2.83,2.92,2.83,13.07M,0.69%
31-May-20,2.9,2.89,2.91,2.88,2.09M,0.35%
28-May-20,2.89,2.84,2.94,2.84,4.35M,3.21%
27-May-20,2.8,2.8,2.82,2.79,5.11M,0.00%
