Date,Price,Open,High,Low,Vol.,Change %
2-Sep-20,2.09,2.05,2.09,2.04,53.62M,1.95%
1-Sep-20,2.05,2.06,2.07,2.03,43.15M,0.99%
31-Aug-20,2.03,2.03,2.06,2.01,72.47M,0.50%
30-Aug-20,2.02,2.06,2.06,1.99,39.39M,-0.98%
27-Aug-20,2.04,2.07,2.08,2.04,40.92M,-1.45%
26-Aug-20,2.07,2.15,2.15,2.07,39.72M,-3.72%
25-Aug-20,2.15,2.09,2.17,2.07,41.91M,3.37%
24-Aug-20,2.08,2.1,2.16,2.07,50.42M,-1.89%
20-Aug-20,2.12,2,2.12,1.98,49.57M,6.00%
19-Aug-20,2,1.91,2.01,1.9,54.69M,3.63%
18-Aug-20,1.93,1.88,1.93,1.87,54.00M,2.66%
17-Aug-20,1.88,1.85,1.9,1.84,43.42M,1.62%
16-Aug-20,1.85,1.84,1.88,1.81,49.96M,1.09%
13-Aug-20,1.83,1.84,1.84,1.78,33.52M,3.39%
12-Aug-20,1.77,1.78,1.81,1.77,24.21M,-1.67%
11-Aug-20,1.8,1.76,1.81,1.76,31.19M,2.86%
10-Aug-20,1.75,1.74,1.77,1.73,22.28M,1.16%
9-Aug-20,1.73,1.78,1.78,1.73,2.73M,-1.70%
6-Aug-20,1.76,1.72,1.76,1.72,9.82M,2.92%
5-Aug-20,1.71,1.73,1.76,1.71,12.18M,-1.16%
4-Aug-20,1.73,1.71,1.73,1.7,4.72M,1.76%
3-Aug-20,1.7,1.73,1.73,1.7,9.47M,-1.73%
29-Jul-20,1.73,1.72,1.75,1.72,11.51M,0.58%
28-Jul-20,1.72,1.71,1.73,1.7,7.58M,0.58%
27-Jul-20,1.71,1.71,1.72,1.7,8.33M,-0.58%
26-Jul-20,1.72,1.69,1.72,1.69,3.50M,2.38%
23-Jul-20,1.68,1.7,1.71,1.68,7.08M,-1.18%
22-Jul-20,1.7,1.73,1.73,1.7,6.56M,-1.16%
21-Jul-20,1.72,1.75,1.75,1.72,6.44M,-1.71%
20-Jul-20,1.75,1.73,1.75,1.72,9.56M,1.74%
19-Jul-20,1.72,1.71,1.73,1.71,3.37M,0.58%
16-Jul-20,1.71,1.71,1.73,1.7,6.11M,0.00%
15-Jul-20,1.71,1.75,1.75,1.7,9.03M,-2.29%
14-Jul-20,1.75,1.76,1.78,1.72,9.74M,-1.69%
13-Jul-20,1.78,1.81,1.81,1.78,5.63M,-1.11%
12-Jul-20,1.8,1.81,1.81,1.8,1.28M,-0.55%
9-Jul-20,1.81,1.81,1.83,1.79,13.99M,0.56%
8-Jul-20,1.8,1.83,1.84,1.8,5.56M,-2.70%
7-Jul-20,1.85,1.82,1.85,1.81,7.71M,1.65%
6-Jul-20,1.82,1.82,1.84,1.8,7.39M,1.11%
5-Jul-20,1.8,1.81,1.81,1.8,855.02K,-0.55%
2-Jul-20,1.81,1.79,1.81,1.78,7.87M,1.12%
1-Jul-20,1.79,1.78,1.81,1.76,6.94M,0.56%
30-Jun-20,1.78,1.85,1.85,1.78,9.30M,-2.73%
29-Jun-20,1.83,1.84,1.85,1.82,3.48M,-1.08%
28-Jun-20,1.85,1.82,1.85,1.81,3.04M,1.09%
25-Jun-20,1.83,1.83,1.86,1.82,7.57M,-1.08%
24-Jun-20,1.85,1.79,1.89,1.79,32.98M,3.35%
23-Jun-20,1.79,1.78,1.81,1.78,18.67M,0.56%
22-Jun-20,1.78,1.75,1.78,1.75,12.55M,1.71%
21-Jun-20,1.75,1.77,1.78,1.75,8.46M,-2.23%
18-Jun-20,1.79,1.74,1.8,1.74,35.18M,1.13%
17-Jun-20,1.77,1.75,1.77,1.74,19.37M,2.31%
16-Jun-20,1.73,1.69,1.75,1.69,16.61M,4.22%
15-Jun-20,1.66,1.7,1.7,1.66,17.52M,-2.92%
14-Jun-20,1.71,1.7,1.71,1.68,8.31M,-1.16%
11-Jun-20,1.73,1.73,1.74,1.71,6.31M,-0.57%
10-Jun-20,1.74,1.75,1.76,1.73,10.87M,-0.57%
9-Jun-20,1.75,1.77,1.78,1.74,11.40M,-2.23%
8-Jun-20,1.79,1.81,1.82,1.76,19.50M,-0.56%
7-Jun-20,1.8,1.76,1.81,1.74,21.43M,4.05%
4-Jun-20,1.73,1.73,1.74,1.72,16.01M,-0.57%
3-Jun-20,1.74,1.73,1.74,1.72,8.50M,1.16%
2-Jun-20,1.72,1.71,1.73,1.7,7.97M,0.00%
1-Jun-20,1.72,1.74,1.76,1.71,15.83M,-1.15%
31-May-20,1.74,1.74,1.75,1.71,5.73M,0.58%
28-May-20,1.73,1.78,1.78,1.7,40.68M,-2.26%
27-May-20,1.77,1.8,1.82,1.76,15.22M,0.57%
21-May-20,1.76,1.79,1.8,1.75,4.22M,0.00%
20-May-20,1.76,1.74,1.78,1.74,8.50M,0.57%
19-May-20,1.75,1.76,1.77,1.74,4.93M,0.57%
18-May-20,1.74,1.74,1.76,1.72,6.90M,0.58%
17-May-20,1.73,1.73,1.77,1.73,5.46M,0.00%
14-May-20,1.73,1.71,1.73,1.69,9.89M,0.00%
13-May-20,1.73,1.73,1.78,1.71,12.14M,-0.57%
12-May-20,1.74,1.73,1.77,1.7,7.83M,1.16%
11-May-20,1.72,1.7,1.73,1.68,10.48M,0.00%
10-May-20,1.72,1.72,1.73,1.64,7.47M,2.38%
7-May-20,1.68,1.69,1.71,1.67,5.32M,-0.59%
6-May-20,1.69,1.72,1.72,1.68,6.53M,-1.74%
5-May-20,1.72,1.72,1.75,1.71,10.95M,2.38%
4-May-20,1.68,1.67,1.72,1.65,18.83M,-2.89%
3-May-20,1.73,1.81,1.81,1.73,3.36M,-4.95%
30-Apr-20,1.82,1.84,1.86,1.79,15.48M,0.00%
29-Apr-20,1.82,1.82,1.82,1.77,15.06M,0.55%
28-Apr-20,1.81,1.74,1.81,1.7,20.11M,4.62%
27-Apr-20,1.73,1.65,1.73,1.64,22.41M,6.13%
26-Apr-20,1.63,1.61,1.65,1.58,12.14M,3.16%
23-Apr-20,1.58,1.51,1.59,1.51,23.48M,5.33%
22-Apr-20,1.5,1.43,1.5,1.41,14.37M,4.17%
