Date,Price,Open,High,Low,Vol.,Change %
2-Sep-20,11.52,11.5,11.58,11.44,9.65M,0.52%
1-Sep-20,11.46,11.54,11.54,11.4,10.37M,0.00%
31-Aug-20,11.46,11.54,11.62,11.46,19.96M,-0.69%
30-Aug-20,11.54,11.42,11.54,11.42,4.15M,1.05%
27-Aug-20,11.42,11.3,11.42,11.3,6.62M,0.53%
26-Aug-20,11.36,11.42,11.46,11.3,7.39M,-1.22%
25-Aug-20,11.5,11.52,11.52,11.36,7.62M,0.00%
24-Aug-20,11.5,11.46,11.52,11.38,5.53M,0.88%
20-Aug-20,11.4,11.32,11.48,11.3,9.62M,0.71%
19-Aug-20,11.32,11.16,11.42,11.14,6.61M,1.25%
18-Aug-20,11.18,11.18,11.2,11.12,11.89M,-0.18%
17-Aug-20,11.2,11.2,11.26,11.14,10.47M,0.00%
16-Aug-20,11.2,11.18,11.2,11.1,8.27M,1.08%
13-Aug-20,11.08,11.06,11.1,10.98,1.79M,0.91%
12-Aug-20,10.98,11.08,11.1,10.98,2.71M,-0.72%
11-Aug-20,11.06,11.12,11.14,11.04,1.96M,0.18%
10-Aug-20,11.04,10.94,11.1,10.94,1.11M,0.36%
9-Aug-20,11,11.16,11.16,10.98,490.67K,-1.08%
6-Aug-20,11.12,11,11.12,10.98,1.57M,1.46%
5-Aug-20,10.96,10.96,11.12,10.96,1.83M,-0.72%
4-Aug-20,11.04,11.06,11.16,11,1.84M,0.36%
3-Aug-20,11,10.82,11,10.82,2.51M,0.73%
29-Jul-20,10.92,10.76,11.04,10.74,3.49M,-0.36%
28-Jul-20,10.96,10.94,10.98,10.76,2.60M,0.00%
27-Jul-20,10.96,10.76,10.96,10.7,2.50M,2.62%
26-Jul-20,10.68,10.6,10.7,10.6,371.99K,0.56%
23-Jul-20,10.62,10.78,10.78,10.54,1.43M,0.00%
22-Jul-20,10.62,10.68,10.7,10.54,1.37M,-0.38%
21-Jul-20,10.66,10.5,10.66,10.46,3.50M,1.72%
20-Jul-20,10.48,10.7,10.72,10.36,3.54M,-2.24%
19-Jul-20,10.72,10.88,10.88,10.7,960.43K,-1.47%
16-Jul-20,10.88,10.64,10.88,10.62,2.11M,2.64%
15-Jul-20,10.6,11.02,11.02,10.6,2.62M,-3.46%
14-Jul-20,10.98,11.06,11.06,10.98,1.37M,-1.26%
13-Jul-20,11.12,11.1,11.12,11.04,829.34K,0.00%
12-Jul-20,11.12,11.08,11.14,11.08,239.78K,0.72%
9-Jul-20,11.04,11.14,11.14,11.02,1.75M,-0.72%
