Date,Price,Open,High,Low,Vol.,Change %
1-Sep-20,170,166,178,166,1.72M,4.94%
31-Aug-20,162,167,170,162,480.22K,-3.57%
30-Aug-20,168,158,170,158,1.39M,3.70%
27-Aug-20,162,161,165,159,865.16K,1.25%
26-Aug-20,160,152,165,151,5.25M,6.67%
25-Aug-20,150,142,152,142,2.37M,4.17%
24-Aug-20,144,139,146,138,634.84K,2.13%
23-Aug-20,141,145,146,141,961.41K,-3.42%
19-Aug-20,146,145,148,145,253.25K,-2.67%
18-Aug-20,150,150,150,144,2.26M,1.35%
17-Aug-20,148,146,149,145,831.83K,1.37%
16-Aug-20,146,141,147,140,3.86M,8.96%
13-Aug-20,134,136,137,132,775.50K,-2.19%
12-Aug-20,137,140,140,134,173.11K,-1.44%
11-Aug-20,139,138,141,138,464.50K,0.00%
10-Aug-20,139,137,140,137,587.58K,1.46%
9-Aug-20,137,140,140,137,293.30K,-0.72%
6-Aug-20,138,138,141,138,252.47K,0.00%
5-Aug-20,138,141,142,138,18.15K,-2.13%
4-Aug-20,141,138,142,138,167.29K,2.17%
29-Jul-20,138,140,143,135,260.54K,-2.13%
28-Jul-20,141,139,142,137,904.93K,1.44%
27-Jul-20,139,136,142,132,908.82K,5.30%
26-Jul-20,132,137,137,131,71.45K,0.76%
23-Jul-20,131,134,136,131,294.18K,-2.24%
22-Jul-20,134,133,135,130,566.88K,-1.47%
21-Jul-20,136,143,147,133,1.36M,-3.55%
20-Jul-20,141,140,142,136,278.21K,2.92%
19-Jul-20,137,140,143,135,640.33K,-4.86%
16-Jul-20,144,143,147,140,293.35K,-1.37%
15-Jul-20,146,149,149,139,248.26K,0.69%
14-Jul-20,145,149,150,140,2.81M,-2.68%
13-Jul-20,149,158,159,149,4.43M,-5.10%
12-Jul-20,157,134,160,129,3.75M,18.05%
9-Jul-20,133,127,135,125,552.72K,4.72%
8-Jul-20,127,129,132,127,93.63K,-3.79%
7-Jul-20,132,133,133,128,104.21K,2.33%
6-Jul-20,129,130,134,129,181.50K,-4.44%
5-Jul-20,135,134,135,134,34.44K,0.75%
2-Jul-20,134,133,136,133,37.45K,-2.19%
1-Jul-20,137,134,137,133,116.10K,-0.72%
30-Jun-20,138,135,138,135,167.26K,0.00%
29-Jun-20,138,138,138,138,2.00K,0.73%
28-Jun-20,137,135,138,134,327.37K,-1.44%
25-Jun-20,139,135,140,133,365.88K,2.96%
24-Jun-20,135,135,138,134,277.67K,-1.46%
23-Jun-20,137,136,138,135,525.17K,0.00%
22-Jun-20,137,138,138,137,20.02K,0.00%
21-Jun-20,137,138,138,134,238.01K,-0.72%
18-Jun-20,138,135,138,133,222.08K,0.00%
17-Jun-20,138,138,138,135,56.19K,0.73%
16-Jun-20,137,134,138,134,374.11K,3.01%
15-Jun-20,133,133,134,130,96.27K,1.53%
14-Jun-20,131,134,139,129,990.50K,-6.43%
11-Jun-20,140,142,142,133,224.73K,2.19%
10-Jun-20,137,143,143,134,1.12M,-2.14%
9-Jun-20,140,144,144,136,2.84M,-2.10%
8-Jun-20,143,148,149,140,3.33M,-2.72%
7-Jun-20,147,141,148,133,2.53M,5.76%
4-Jun-20,139,135,147,135,1.30M,5.30%
3-Jun-20,132,117,140,117,4.04M,12.82%
2-Jun-20,117,118,118,115,81.41K,0.00%
1-Jun-20,117,117,118,116,45.40K,-0.85%
31-May-20,118,118,119,115,151.69K,-1.67%
28-May-20,120,121,121,118,103.22K,-0.83%
27-May-20,121,121,122,118,1.75M,0.83%
21-May-20,120,119,120,119,38.45K,0.84%
20-May-20,119,120,120,119,44.50K,0.85%
19-May-20,118,117,122,117,982.97K,-0.84%
18-May-20,119,120,124,119,1.11M,0.00%
17-May-20,119,118,124,118,64.00K,1.71%
14-May-20,117,117,123,117,145.19K,-4.88%
13-May-20,123,125,128,115,141.13K,-5.38%
12-May-20,130,131,131,129,44.89K,0.78%
11-May-20,129,131,134,129,177.86K,-1.53%
10-May-20,131,130,131,125,471.04K,0.00%
7-May-20,131,125,132,120,513.28K,7.38%
6-May-20,122,119,125,119,1.32M,4.27%
5-May-20,117,117,119,116,580.97K,0.86%
4-May-20,116,115,117,115,288.32K,-0.85%
3-May-20,117,119,121,112,847.40K,-3.31%
30-Apr-20,121,115,125,115,1.56M,4.31%
29-Apr-20,116,114,116,103,3.84M,2.65%
28-Apr-20,113,90,124,90,4.39M,24.72%
27-Apr-20,91,90,94,90,709.55K,0.78%
26-Apr-20,90,90,90,86,0.79K,3.10%
23-Apr-20,87,90,90,87,39.36K,-7.92%
22-Apr-20,95,95,95,95,1.91K,0.74%
21-Apr-20,94,92,94,92,18.17K,0.00%
20-Apr-20,94,95,95,94,47.01K,0.00%
19-Apr-20,94,92,95,91,284.12K,-1.98%
16-Apr-20,96,96,96,96,0.01K,2.13%
15-Apr-20,94,95,95,92,28.24K,-1.16%
14-Apr-20,95,90,97,90,169.65K,5.56%
13-Apr-20,90,87,90,87,20.00K,0.00%
12-Apr-20,90,90,90,85,40.00K,5.76%
9-Apr-20,85,89,90,85,274.01K,-5.56%
8-Apr-20,90,94,94,89,180.13K,-1.21%
7-Apr-20,91,94,94,90,111.05K,1.22%
6-Apr-20,90,90,94,88,236.20K,-3.23%
5-Apr-20,93,100,100,93,223.81K,0.87%
2-Apr-20,92,95,101,92,504.79K,-5.92%
1-Apr-20,98,102,102,96,155.10K,-1.21%
31-Mar-20,99,93,102,93,962.03K,4.42%
30-Mar-20,95,100,100,95,0.15K,-0.84%
29-Mar-20,96,100,101,96,345.34K,-7.88%
26-Mar-20,104,101,105,100,191.14K,0.00%
25-Mar-20,104,99,108,99,826.04K,5.05%
24-Mar-20,99,89,103,85,710.62K,14.58%
23-Mar-20,86,84,92,84,533.75K,-1.93%
19-Mar-20,88,88,92,84,643.29K,0.00%
18-Mar-20,88,90,90,86,222.11K,-2.22%
17-Mar-20,90,80,91,76,2.09M,7.14%
16-Mar-20,84,100,106,84,3.17M,-16.83%
15-Mar-20,101,110,110,100,770.33K,-12.17%
11-Mar-20,115,124,125,114,889.72K,0.88%
10-Mar-20,114,120,132,114,2.55M,3.64%
9-Mar-20,110,117,117,100,1.15M,-15.38%
8-Mar-20,130,135,140,119,436.41K,-10.96%
5-Mar-20,146,147,154,146,1.21M,-0.68%
4-Mar-20,147,140,150,136,452.01K,1.38%
3-Mar-20,145,149,153,144,1.17M,-2.68%
2-Mar-20,149,140,150,140,2.42M,10.37%
1-Mar-20,135,140,140,116,2.57M,-12.34%
24-Feb-20,154,164,164,150,493.06K,-1.91%
23-Feb-20,157,156,164,156,32.58K,-3.09%
20-Feb-20,162,163,163,156,139.01K,0.62%
19-Feb-20,161,156,163,156,79.42K,2.55%
18-Feb-20,157,168,168,157,481.34K,-1.88%
